Nama,Nilai
Siswa0267,86
Siswa0268,72
Siswa0269,58
Siswa0270,95
Siswa0271,81
Siswa0272,67
Siswa0273,53
Siswa0274,90
Siswa0275,76
Siswa0276,62
Siswa0277,99
Siswa0278,85
Siswa0279,71
Siswa0280,57
Siswa0281,94
Siswa0282,80
Siswa0283,66
Siswa0284,52
Siswa0285,89
Siswa0286,75
Siswa0287,61
Siswa0288,98
Siswa0289,84
Siswa0290,70
Siswa0291,56
Siswa0292,93
Siswa0293,79
Siswa0294,65
Siswa0295,51
Siswa0296,88
Siswa0297,74
Siswa0298,60
Siswa0299,97
Siswa0300,83
Siswa0301,69
Siswa0302,55
Siswa0303,92
Siswa0304,78
Siswa0305,64
Siswa0306,50
Siswa0307,87
Siswa0308,73
Siswa0309,59
Siswa0310,96
Siswa0311,82
Siswa0312,68
Siswa0313,54
Siswa0314,91
Siswa0315,77
Siswa0316,63
Siswa0317,100
Siswa0318,86
Siswa0319,72
Siswa0320,58
Siswa0321,95
Siswa0322,81
Siswa0323,67
Siswa0324,53
Siswa0325,90
Siswa0326,76
Siswa0327,62
Siswa0328,99
Siswa0329,85
Siswa0330,71
Siswa0331,57
Siswa0332,94
Siswa0333,80
Siswa0334,66
Siswa0335,52
Siswa0336,89
Siswa0337,75
Siswa0338,61
Siswa0339,98
Siswa0340,84
Siswa0341,70
Siswa0342,56
Siswa0343,93
Siswa0344,79
Siswa0345,65
Siswa0346,51
Siswa0347,88
Siswa0348,74
Siswa0349,60
Siswa0350,97
Siswa0351,83
Siswa0352,69
Siswa0353,55
Siswa0354,92
Siswa0355,78
Siswa0356,64
Siswa0357,50
Siswa0358,87
Siswa0359,73
Siswa0360,59
Siswa0361,96
Siswa0362,82
Siswa0363,68
Siswa0364,54
Siswa0365,91
Siswa0366,77
Siswa0367,63
Siswa0368,100
Siswa0369,86
Siswa0370,72
Siswa0371,58
Siswa0372,95
Siswa0373,81
Siswa0374,67
Siswa0375,53
Siswa0376,90
Siswa0377,76
Siswa0378,62
Siswa0379,99
Siswa0380,85
Siswa0381,71
Siswa0382,57
Siswa0383,94
Siswa0384,80
Siswa0385,66
Siswa0386,52
Siswa0387,89
Siswa0388,75
Siswa0389,61
Siswa0390,98
Siswa0391,84
Siswa0392,70
Siswa0393,56
Siswa0394,93
Siswa0395,79
Siswa0396,65
Siswa0397,51
Siswa0398,88
Siswa0399,74
Siswa0400,60
Siswa0401,97
Siswa0402,83
Siswa0403,69
Siswa0404,55
Siswa0405,92
Siswa0406,78
Siswa0407,64
Siswa0408,50
Siswa0409,87
Siswa0410,73
Siswa0411,59
Siswa0412,96
Siswa0413,82
Siswa0414,68
Siswa0415,54
Siswa0416,91
Siswa0417,77
Siswa0418,63
Siswa0419,100
Siswa0420,86
Siswa0421,72
Siswa0422,58
Siswa0423,95
Siswa0424,81
Siswa0425,67
Siswa0426,53
Siswa0427,90
Siswa0428,76
Siswa0429,62
Siswa0430,99
Siswa0431,85
Siswa0432,71
Siswa0433,57
Siswa0434,94
Siswa0435,80
Siswa0436,66
Siswa0437,52
Siswa0438,89
Siswa0439,75
Siswa0440,61
Siswa0441,98
Siswa0442,84
Siswa0443,70
Siswa0444,56
Siswa0445,93
Siswa0446,79
Siswa0447,65
Siswa0448,51
Siswa0449,88
Siswa0450,74
Siswa0451,60
Siswa0452,97
Siswa0453,83
Siswa0454,69
Siswa0455,55
Siswa0456,92
Siswa0457,78
Siswa0458,64
Siswa0459,50
Siswa0460,87
Siswa0461,73
Siswa0462,59
Siswa0463,96
Siswa0464,82
Siswa0465,68
Siswa0466,54
Siswa0467,91
Siswa0468,77
Siswa0469,63
Siswa0470,100
Siswa0471,86
Siswa0472,72
Siswa0473,58
Siswa0474,95
Siswa0475,81
Siswa0476,67
Siswa0477,53
Siswa0478,90
Siswa0479,76
Siswa0480,62
Siswa0481,99
Siswa0482,85
Siswa0483,71
Siswa0484,57
Siswa0485,94
Siswa0486,80
Siswa0487,66
Siswa0488,52
Siswa0489,89
Siswa0490,75
Siswa0491,61
Siswa0492,98
Siswa0493,84
Siswa0494,70
Siswa0495,56
Siswa0496,93
Siswa0497,79
Siswa0498,65
Siswa0499,51
Siswa0500,88
Siswa0501,74
Siswa0502,60
Siswa0503,97
Siswa0504,83
Siswa0505,69
Siswa0506,55
Siswa0507,92
Siswa0508,78
Siswa0509,64
Siswa0510,50
Siswa0511,87
Siswa0512,73
Siswa0513,59
Siswa0514,96
Siswa0515,82
Siswa0516,68
Siswa0517,54
Siswa0518,91
Siswa0519,77
Siswa0520,63
Siswa0521,100
Siswa0522,86
Siswa0523,72
Siswa0524,58
Siswa0525,95
Siswa0526,81
Siswa0527,67
Siswa0528,53
Siswa0529,90
Siswa0530,76
Siswa0531,62
Siswa0532,99
Siswa0533,85
Siswa0534,71
Siswa0535,57
Siswa0536,94
Siswa0537,80
Siswa0538,66
Siswa0539,52
Siswa0540,89
Siswa0541,75
Siswa0542,61
Siswa0543,98
Siswa0544,84
Siswa0545,70
Siswa0546,56
Siswa0547,93
Siswa0548,79
Siswa0549,65
Siswa0550,51
Siswa0551,88
Siswa0552,74
Siswa0553,60
Siswa0554,97
Siswa0555,83
Siswa0556,69
Siswa0557,55
Siswa0558,92
Siswa0559,78
Siswa0560,64
Siswa0561,50
Siswa0562,87
Siswa0563,73
Siswa0564,59
Siswa0565,96
Siswa0566,82
Siswa0567,68
Siswa0568,54
Siswa0569,91
Siswa0570,77
Siswa0571,63
Siswa0572,100
Siswa0573,86
Siswa0574,72
Siswa0575,58
Siswa0576,95
Siswa0577,81
Siswa0578,67
Siswa0579,53
Siswa0580,90
Siswa0581,76
Siswa0582,62
Siswa0583,99
Siswa0584,85
Siswa0585,71
Siswa0586,57
Siswa0587,94
Siswa0588,80
Siswa0589,66
Siswa0590,52
Siswa0591,89
Siswa0592,75
Siswa0593,61
Siswa0594,98
Siswa0595,84
Siswa0596,70
Siswa0597,56
Siswa0598,93
Siswa0599,79
Siswa0600,65
Siswa0601,51
Siswa0602,88
Siswa0603,74
Siswa0604,60
Siswa0605,97
Siswa0606,83
Siswa0607,69
Siswa0608,55
Siswa0609,92
Siswa0610,78
Siswa0611,64
Siswa0612,50
Siswa0613,87
Siswa0614,73
Siswa0615,59
Siswa0616,96
Siswa0617,82
Siswa0618,68
Siswa0619,54
Siswa0620,91
Siswa0621,77
Siswa0622,63
Siswa0623,100
Siswa0624,86
Siswa0625,72
Siswa0626,58
Siswa0627,95
Siswa0628,81
Siswa0629,67
Siswa0630,53
Siswa0631,90
Siswa0632,76
Siswa0633,62
Siswa0634,99
Siswa0635,85
Siswa0636,71
Siswa0637,57
Siswa0638,94
Siswa0639,80
Siswa0640,66
Siswa0641,52
Siswa0642,89
Siswa0643,75
Siswa0644,61
Siswa0645,98
Siswa0646,84
Siswa0647,70
Siswa0648,56
Siswa0649,93
Siswa0650,79
Siswa0651,65
Siswa0652,51
Siswa0653,88
Siswa0654,74
Siswa0655,60
Siswa0656,97
Siswa0657,83
Siswa0658,69
Siswa0659,55
Siswa0660,92
Siswa0661,78
Siswa0662,64
Siswa0663,50
Siswa0664,87
Siswa0665,73
Siswa0666,59
Siswa0667,96
Siswa0668,82
Siswa0669,68
Siswa0670,54
Siswa0671,91
Siswa0672,77
Siswa0673,63
Siswa0674,100
Siswa0675,86
Siswa0676,72
Siswa0677,58
Siswa0678,95
Siswa0679,81
Siswa0680,67
Siswa0681,53
Siswa0682,90
Siswa0683,76
Siswa0684,62
Siswa0685,99
Siswa0686,85
Siswa0687,71
Siswa0688,57
Siswa0689,94
Siswa0690,80
Siswa0691,66
Siswa0692,52
Siswa0693,89
Siswa0694,75
Siswa0695,61
Siswa0696,98
Siswa0697,84
Siswa0698,70
Siswa0699,56
Siswa0700,93
Siswa0701,79
Siswa0702,65
Siswa0703,51
Siswa0704,88
Siswa0705,74
Siswa0706,60
Siswa0707,97
Siswa0708,83
Siswa0709,69
Siswa0710,55
Siswa0711,92
Siswa0712,78
Siswa0713,64
Siswa0714,50
Siswa0715,87
Siswa0716,73
Siswa0717,59
Siswa0718,96
Siswa0719,82
Siswa0720,68
Siswa0721,54
Siswa0722,91
Siswa0723,77
Siswa0724,63
Siswa0725,100
Siswa0726,86
Siswa0727,72
Siswa0728,58
Siswa0729,95
Siswa0730,81
Siswa0731,67
Siswa0732,53
Siswa0733,90
Siswa0734,76
Siswa0735,62
Siswa0736,99
Siswa0737,85
Siswa0738,71
Siswa0739,57
Siswa0740,94
Siswa0741,80
Siswa0742,66
Siswa0743,52
Siswa0744,89
Siswa0745,75
Siswa0746,61
Siswa0747,98
Siswa0748,84
Siswa0749,70
Siswa0750,56
Siswa0751,93
Siswa0752,79
Siswa0753,65
Siswa0754,51
Siswa0755,88
Siswa0756,74
Siswa0757,60
Siswa0758,97
Siswa0759,83
Siswa0760,69
Siswa0761,55
Siswa0762,92
Siswa0763,78
Siswa0764,64
Siswa0765,50
Siswa0766,87
Siswa0767,73
Siswa0768,59
Siswa0769,96
Siswa0770,82
Siswa0771,68
Siswa0772,54
Siswa0773,91
Siswa0774,77
Siswa0775,63
Siswa0776,100
Siswa0777,86
Siswa0778,72
Siswa0779,58
Siswa0780,95
Siswa0781,81
Siswa0782,67
Siswa0783,53
Siswa0784,90
Siswa0785,76
Siswa0786,62
Siswa0787,99
Siswa0788,85
Siswa0789,71
Siswa0790,57
Siswa0791,94
Siswa0792,80
Siswa0793,66
Siswa0794,52
Siswa0795,89
Siswa0796,75
Siswa0797,61
Siswa0798,98
Siswa0799,84
Siswa0800,70
Siswa0801,56
Siswa0802,93
Siswa0803,79
Siswa0804,65
Siswa0805,51
Siswa0806,88
Siswa0807,74
Siswa0808,60
Siswa0809,97
Siswa0810,83
Siswa0811,69
Siswa0812,55
Siswa0813,92
Siswa0814,78
Siswa0815,64
Siswa0816,50
Siswa0817,87
Siswa0818,73
Siswa0819,59
Siswa0820,96
Siswa0821,82
Siswa0822,68
Siswa0823,54
Siswa0824,91
Siswa0825,77
Siswa0826,63
Siswa0827,100
Siswa0828,86
Siswa0829,72
Siswa0830,58
Siswa0831,95
Siswa0832,81
Siswa0833,67
Siswa0834,53
Siswa0835,90
Siswa0836,76
Siswa0837,62
Siswa0838,99
Siswa0839,85
Siswa0840,71
Siswa0841,57
Siswa0842,94
Siswa0843,80
Siswa0844,66
Siswa0845,52
Siswa0846,89
Siswa0847,75
Siswa0848,61
Siswa0849,98
Siswa0850,84
Siswa0851,70
Siswa0852,56
Siswa0853,93
Siswa0854,79
Siswa0855,65
Siswa0856,51
Siswa0857,88
Siswa0858,74
Siswa0859,60
Siswa0860,97
Siswa0861,83
Siswa0862,69
Siswa0863,55
Siswa0864,92
Siswa0865,78
Siswa0866,64
Siswa0867,50
Siswa0868,87
Siswa0869,73
Siswa0870,59
Siswa0871,96
Siswa0872,82
Siswa0873,68
Siswa0874,54
Siswa0875,91
Siswa0876,77
Siswa0877,63
Siswa0878,100
Siswa0879,86
Siswa0880,72
Siswa0881,58
Siswa0882,95
Siswa0883,81
Siswa0884,67
Siswa0885,53
Siswa0886,90
Siswa0887,76
Siswa0888,62
Siswa0889,99
Siswa0890,85
Siswa0891,71
Siswa0892,57
Siswa0893,94
Siswa0894,80
Siswa0895,66
Siswa0896,52
Siswa0897,89
Siswa0898,75
Siswa0899,61
Siswa0900,98
Siswa0901,84
Siswa0902,70
Siswa0903,56
Siswa0904,93
Siswa0905,79
Siswa0906,65
Siswa0907,51
Siswa0908,88
Siswa0909,74
Siswa0910,60
Siswa0911,97
Siswa0912,83
Siswa0913,69
Siswa0914,55
Siswa0915,92
Siswa0916,78
Siswa0917,64
Siswa0918,50
Siswa0919,87
Siswa0920,73
Siswa0921,59
Siswa0922,96
Siswa0923,82
Siswa0924,68
Siswa0925,54
Siswa0926,91
Siswa0927,77
Siswa0928,63
Siswa0929,100
Siswa0930,86
Siswa0931,72
Siswa0932,58
Siswa0933,95
Siswa0934,81
Siswa0935,67
Siswa0936,53
Siswa0937,90
Siswa0938,76
Siswa0939,62
Siswa0940,99
Siswa0941,85
Siswa0942,71
Siswa0943,57
Siswa0944,94
Siswa0945,80
Siswa0946,66
Siswa0947,52
Siswa0948,89
Siswa0949,75
Siswa0950,61
Siswa0951,98
Siswa0952,84
Siswa0953,70
Siswa0954,56
Siswa0955,93
Siswa0956,79
Siswa0957,65
Siswa0958,51
Siswa0959,88
Siswa0960,74
Siswa0961,60
Siswa0962,97
Siswa0963,83
Siswa0964,69
Siswa0965,55
Siswa0966,92
Siswa0967,78
Siswa0968,64
Siswa0969,50
Siswa0970,87
Siswa0971,73
Siswa0972,59
Siswa0973,96
Siswa0974,82
Siswa0975,68
Siswa0976,54
Siswa0977,91
Siswa0978,77
Siswa0979,63
Siswa0980,100
Siswa0981,86
Siswa0982,72
Siswa0983,58
Siswa0984,95
Siswa0985,81
Siswa0986,67
Siswa0987,53
Siswa0988,90
Siswa0989,76
Siswa0990,62
Siswa0991,99
Siswa0992,85
Siswa0993,71
Siswa0994,57
Siswa0995,94
Siswa0996,80
Siswa0997,66
Siswa0998,52
Siswa0999,89
Siswa1000,75
